"","X","Accession","Species","FirstColorDate","PeakColorDate","FirstDropDate","PeakDropDate","PercDropped","PeakColDOY","FirstColDOY","FirstDropDOY","PeakDropDOY"
"1",1,"1038-80*A","Liriodendron tulipifera","0014-09-16","0014-11-04","0014-09-16","0014-11-04",94,307,258,258,307
"2",2,"945-63*A","Tilia japonica","0014-09-16","0014-11-04","0014-09-16","0014-11-11",94,307,258,258,314
"3",3,"7544*E","Phell. amur. var. lavallei","0014-09-16","0014-10-07","0014-09-16","0014-10-14",100,279,258,258,286
"4",4,"925-79*B","Aesculus flava","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"5",5,"3699*D","Tilia japonica","0014-09-16","0014-11-04","0014-09-16","0014-11-11",100,307,258,258,314
"6",6,"19804*A","Tilia americana","0014-09-16","0014-11-11","0014-09-16","0014-11-04",74,314,258,258,307
"7",7,"10724*B","Phell. amur. var. lavallei","0014-09-16","0014-11-11","0014-09-16","0014-11-11",74,314,258,258,314
"8",8,"181-79*A","Phellod. amurense","0014-09-16","0014-11-11","0014-09-16","0014-11-04",49,314,258,258,307
"9",9,"1769-77*A","Phellod. amurense","0014-09-16","0014-11-11","0014-09-16","0014-11-11",94,314,258,258,314
"10",10,"7544*C","Phell. amur. var. lavallei","0014-09-16","0014-10-29","0014-09-16","0014-10-29",100,301,258,258,301
"11",11,"7544*B","Phell. amur. var. lavallei","0014-09-16","0014-10-29","0014-09-16","0014-10-29",100,301,258,258,301
"12",12,"772-53*A","Tilia japonica","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"13",13,"814-62*A","Met. glyptostroboides","0014-10-07","0014-10-07","0014-10-21","0014-11-04",24,279,279,293,307
"14",14,"814-62*D","Met. glyptostroboides","0014-09-30","0014-11-11","0014-09-30","0014-11-04",24,314,272,272,307
"15",15,"815-62*B","Met. glyptostroboides","0014-10-21","0014-11-04","0014-10-21","0014-11-04",24,307,293,293,307
"16",16,"815-62*C","Met. glyptostroboides","0014-10-21","0014-11-04","0014-10-21","0014-11-04",24,307,293,293,307
"17",17,"524-48*DD","Met. glyptostroboides","0014-09-16","0014-09-30","0014-09-30","0014-11-04",24,272,258,272,307
"18",18,"12651*C","Aesculus flava","0014-09-16","0014-10-21","0014-09-16","0014-10-21",100,293,258,258,293
"19",19,"12651*H","Aesculus flava","0014-09-16","0014-10-14","0014-09-16","0014-10-21",100,286,258,258,293
"20",20,"12651*D","Aesculus flava","0014-09-16","0014-10-14","0014-09-16","0014-10-21",100,286,258,258,293
"21",21,"1581-77*F","Quercus variabilis","0014-10-14","0014-10-14","0014-10-14","0014-10-14",49,286,286,286,286
"22",22,"1539-80*C","Sorbus yuana","0014-09-30","0014-11-11","0014-10-07","0014-10-29",74,314,272,279,301
"23",23,"1894-80*C","Sorbus yuana","0014-09-16","0014-11-11","0014-09-16","0014-11-11",100,314,258,258,314
"24",24,"1894-80*D","Sorbus yuana","0014-09-16","0014-10-21","0014-09-16","0014-10-21",100,293,258,258,293
"25",25,"1539-80*B","Sorbus yuana","0014-09-16","0014-10-29","0014-09-16","0014-11-04",100,301,258,258,307
"26",26,"13218*A","Gleditsia triacanthos","0014-09-16","0014-10-14","0014-09-16","0014-11-04",94,286,258,258,307
"27",27,"12221*A","Styph. japonicum","0014-09-16","0014-11-11","0014-09-16","0014-10-29",24,314,258,258,301
"28",28,"20101*A","Carya glabra","0014-09-16","0014-10-29","0014-10-07","0014-11-04",49,301,258,279,307
"29",29,"1199*J","Betula nigra","0014-09-16","0014-11-11","0014-09-16","0014-11-11",94,314,258,258,314
"30",30,"1199*D","Betula nigra","0014-09-16","0014-10-29","0014-09-16","0014-11-04",74,301,258,258,307
"31",31,"1251-79*A","Betula nigra","0014-09-16","0014-11-11","0014-09-23","0014-11-11",49,314,258,265,314
"32",32,"1251-79*B","Betula nigra","0014-09-16","0014-11-11","0014-09-23","0014-11-04",74,314,258,265,307
"33",33,"12843*A","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-04",100,301,258,258,307
"34",34,"12843*C","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-23","0014-11-04",100,301,258,265,307
"35",35,"12843*D","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-23","0014-11-04",100,301,258,265,307
"36",36,"12843*E","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"37",37,"12843*H","Betula alleghaniensis","0014-09-23","0014-10-29","0014-09-23","0014-11-11",100,301,265,265,314
"38",38,"1813-77*A","Zelkova serrata","0014-09-16","0014-11-11","0014-09-23","0014-10-29",74,314,258,265,301
"39",39,"1813-77*B","Zelkova serrata","0014-09-30","0014-11-11","0014-09-30","0014-11-04",49,314,272,272,307
"40",40,"1813-77*C","Zelkova serrata","0014-09-16","0014-11-11","0014-09-16","0014-11-04",74,314,258,258,307
"41",41,"1813-77*D","Zelkova serrata","0014-09-16","0014-11-11","0014-09-16","0014-11-04",74,314,258,258,307
"42",42,"1813-77*E","Zelkova serrata","0014-09-30","0014-11-11","0014-09-30","0014-10-29",49,314,272,272,301
"43",43,"1813-77*F","Zelkova serrata","0014-09-16","0014-11-11","0014-09-23","0014-11-04",74,314,258,265,307
"44",44,"629-83*D","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-04",100,301,258,258,307
"45",45,"1265-79*E","Fraxinus mandshurica","0014-09-16","0014-10-14","0014-09-16","0014-11-04",100,286,258,258,307
"46",46,"1422-83*B","Fraxinus pennsylvanica","0014-09-16","0014-10-21","0014-09-16","0014-10-29",100,293,258,258,301
"47",47,"1726-81*A","Platanus occidentalis","0014-09-16","0014-11-04","0014-09-16","0014-10-29",100,307,258,258,301
"48",48,"1236-79*A","Platanus occidentalis","0014-09-16","0014-11-11","0014-09-16","0014-10-29",74,314,258,258,301
"49",49,"1236-79*B","Platanus occidentalis","0014-09-16","0014-11-11","0014-09-16","0014-11-11",74,314,258,258,314
"50",50,"1236-79*D","Platanus occidentalis","0014-09-16","0014-11-11","0014-09-16","0014-10-29",49,314,258,258,301
"51",51,"1248-79*A","Liquidambar styraciflua","0014-09-16","0014-11-11","0014-09-16","0014-10-14",24,314,258,258,286
"52",52,"1248-79*B","Liquidambar styraciflua","0014-09-16","0014-11-11","0014-09-16","0014-10-14",24,314,258,258,286
"53",53,"16847*E","Quercus macrocarpa","0014-09-30","0014-11-04","0014-09-30","0014-11-11",100,307,272,272,314
"54",54,"11253*A","Quercus rubra","0014-09-23","0014-11-11","0014-09-23","0014-11-11",49,314,265,265,314
"55",55,"8197*A","Quercus rubra","0014-10-07","0014-11-11","0014-10-07","0014-10-21",24,314,279,279,293
"56",56,"5859*B","Quercus rubra","0014-09-30","0014-11-04","0014-10-07","0014-11-11",74,307,272,279,314
"57",57,"1239-83*A","Styph. japonicum","0014-09-16","0014-10-29","0014-09-16","0014-09-30",24,301,258,258,272
"58",58,"7272*C","Pyrus pyrifolia","0014-09-16","0014-10-21","0014-09-23","0014-10-07",24,293,258,265,279
"59",59,"16795*A","Quercus aliena","0014-09-23","0014-11-11","0014-09-23","0014-10-29",24,314,265,265,301
"60",60,"1590-52*B","Quercus dentata","0014-09-30","0014-11-11","0014-09-30","0014-11-11",49,314,272,272,314
"61",61,"1590-52*C","Quercus dentata","0014-09-30","0014-11-11","0014-09-30","0014-11-04",49,314,272,272,307
"62",62,"16815*A","Quercus dentata","0014-10-07","0014-11-11","0014-10-07","0014-11-11",74,314,279,279,314
"63",63,"16816*A","Quercus dentata","0014-09-30","0014-11-11","0014-09-30","0014-11-11",94,314,272,272,314
"64",64,"16824*C","Quercus glandulifera","0014-10-14","0014-11-04","0014-10-14","0014-10-29",24,307,286,286,301
"65",65,"3672*A","Quercus glandulifera","0014-09-30","0014-11-11","0014-10-07","0014-11-11",74,314,272,279,314
"66",66,"3672*B","Quercus glandulifera","0014-09-23","0014-11-11","0014-09-23","0014-11-04",74,314,265,265,307
"67",67,"3672*C","Quercus glandulifera","0014-10-07","0014-11-11","0014-10-07","0014-11-11",49,314,279,279,314
"68",68,"17631*A","Quercus variabilis","0014-10-21","0014-11-11","0014-10-14","0014-09-16",0,314,293,286,258
"69",69,"17631*B","Quercus variabilis","0014-10-14","0014-10-21","0014-10-14","0014-09-16",0,293,286,286,258
"70",70,"3671*A","Quercus variabilis","0014-10-07","0014-10-29","0014-10-07","0014-09-16",0,301,279,279,258
"71",71,"1539-80*A","Sorbus yuana","0014-09-23","0014-10-29","0014-09-30","0014-11-04",100,301,265,272,307
"72",72,"11728*C","Pyrus ussuriensis","0014-09-16","0014-10-29","0014-09-30","0014-11-11",100,301,258,272,314
"73",73,"537-81*A","Fraxinus sieboldiana","0014-09-23","0014-10-14","0014-09-23","0014-11-04",100,286,265,265,307
"74",74,"186-82*A","Fraxinus pennsylvanica","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"75",75,"1245-79*A","Catalpa speciosa","0014-09-30","0014-10-29","0014-09-30","0014-11-04",94,301,272,272,307
"76",76,"1245-79*B","Catalpa speciosa","0014-09-30","0014-10-29","0014-09-30","0014-11-11",74,301,272,272,314
"77",77,"14615*B","Fraxinus chinensis","0014-09-23","0014-10-29","0014-09-23","0014-11-04",100,301,265,265,307
"78",78,"439-80*C","Fraxinus chinensis","0014-09-16","0014-10-14","0014-09-16","0014-10-14",100,286,258,258,286
"79",79,"439-80*D","Fraxinus chinensis","0014-09-16","0014-10-07","0014-09-16","0014-10-14",100,279,258,258,286
"80",80,"911-77*A","Fraxinus chinensis","0014-09-30","0014-10-14","0014-10-07","0014-10-21",100,286,272,279,293
"81",81,"911-77*C","Fraxinus chinensis","0014-09-30","0014-10-14","0014-09-30","0014-10-21",100,286,272,272,293
"82",82,"910-77*A","Fraxinus chinensis var. rhynchophylla","0014-09-30","0014-11-11","0014-09-30","0014-11-11",74,314,272,272,314
"83",83,"17908*D","Ulmus laciniata var. nik.","0014-09-16","0014-11-11","0014-09-16","0014-11-11",74,314,258,258,314
"84",84,"1265-79*D","Fraxinus mandshurica","0014-09-30","0014-10-21","0014-09-16","0014-10-29",100,293,272,258,301
"85",85,"111-58*A","Platanus occidentalis","0014-09-16","0014-11-06","0014-09-16","0014-10-29",49,309,258,258,301
"86",86,"111-58*B","Platanus occidentalis","0014-09-16","0014-11-06","0014-09-16","0014-11-11",94,309,258,258,314
"87",87,"7321*A","Carya ovata","0014-09-30","0014-10-21","0014-09-30","0014-11-06",100,293,272,272,309
"88",88,"20095*A","Carya glabra","0014-09-16","0014-11-06","0014-09-16","0014-11-06",74,309,258,258,309
"89",89,"7873*A","Carya glabra","0014-09-16","0014-10-21","0014-09-16","0014-11-06",100,293,258,258,309
"90",90,"12907*B","Carya ovata","0014-10-07","0014-10-21","0014-10-07","0014-11-06",100,293,279,279,309
"91",91,"12907*D","Carya ovata","0014-09-16","0014-10-21","0014-10-07","0014-11-06",100,293,258,279,309
"92",92,"12907*G","Carya ovata","0014-09-30","0014-10-21","0014-09-30","0014-11-06",100,293,272,272,309
"93",93,"12907*I","Carya ovata","0014-09-16","0014-10-14","0014-09-16","0014-10-29",100,286,258,258,301
"94",94,"12907*N","Carya ovata","0014-09-16","0014-10-29","0014-09-16","0014-11-11",49,301,258,258,314
"95",95,"12907*Q","Carya ovata","0014-10-07","0014-10-21","0014-10-07","0014-10-29",100,293,279,279,301
"96",96,"7947*A","Carya ovata","0014-09-16","0014-10-14","0014-09-30","0014-10-29",100,286,258,272,301
"97",97,"6986*A","Carya ovata","0014-10-07","0014-10-29","0014-10-07","0014-11-11",94,301,279,279,314
"98",98,"1248-79*C","Liquidambar styraciflua","0014-09-16","0014-11-06","0014-09-16","0014-10-29",24,309,258,258,301
"99",99,"20098*A","Carya glabra","0014-09-30","0014-10-21","0014-10-07","0014-11-06",100,293,272,279,309
"100",100,"2019*B","Carya glabra","0014-09-30","0014-10-21","0014-10-07","0014-11-06",100,293,272,279,309
"101",101,"2019*C","Carya glabra","0014-09-30","0014-10-29","0014-09-30","0014-11-06",49,301,272,272,309
"102",102,"2019*I","Carya glabra","0014-09-16","0014-10-29","0014-09-16","0014-11-06",49,301,258,258,309
"103",103,"2019*O","Carya glabra","0014-09-16","0014-10-21","0014-09-16","0014-11-06",100,293,258,258,309
"104",104,"2019*R","Carya glabra","0014-09-30","0014-10-29","0014-09-30","0014-11-06",94,301,272,272,309
"105",105,"2019*S","Carya glabra","0014-09-16","0014-11-06","0014-09-30","0014-11-11",49,309,258,272,314
"106",106,"6990*A","Carya glabra","0014-09-16","0014-10-21","0014-09-16","0014-11-06",100,293,258,258,309
"107",107,"8188*A","Carya glabra","0014-09-16","0014-10-29","0014-09-16","0014-11-11",94,301,258,258,314
"108",108,"16847*J","Quercus macrocarpa","0014-09-30","0014-11-11","0014-09-30","0014-11-06",49,314,272,272,309
"109",109,"16847*M","Quercus macrocarpa","0014-09-16","0014-11-11","0014-09-16","0014-11-06",74,314,258,258,309
"110",110,"7598*A","Quercus coccinea","0014-09-23","0014-11-11","0014-09-30","0014-11-06",49,314,265,272,309
"111",111,"7598*B","Quercus coccinea","0014-09-23","0014-11-11","0014-09-30","0014-11-06",49,314,265,272,309
"112",112,"16847*F","Quercus macrocarpa","0014-09-30","0014-11-11","0014-09-30","0014-11-11",94,314,272,272,314
"113",113,"1264-80*B","Quercus glandulifera","0014-09-16","0014-11-06","0014-10-07","0014-11-06",24,309,258,279,309
"114",114,"970-79*B","Carpinus caroliniana","0014-09-16","0014-11-06","0014-09-16","0014-11-06",94,309,258,258,309
"115",115,"358-82*A","Quercus alba","0014-09-30","0014-11-06","0014-10-07","0014-11-06",24,309,272,279,309
"116",116,"16882*B","Quercus rubra","0014-09-30","0014-11-11","0014-10-07","0014-10-29",24,314,272,279,301
"117",117,"7416*A","Fagus engleriana","0014-10-14","0014-11-11","0014-10-14","0014-11-11",24,314,286,286,314
"118",118,"14585*G","Fagus grandifolia","0014-09-30","0014-10-29","0014-10-07","0014-11-11",94,301,272,279,314
"119",119,"14585*J","Fagus grandifolia","0014-09-30","0014-10-29","0014-10-07","0014-11-11",94,301,272,279,314
"120",120,"14585*T","Fagus grandifolia","0014-09-30","0014-11-04","0014-10-07","0014-11-11",94,307,272,279,314
"121",121,"14585*V","Fagus grandifolia","0014-09-30","0014-11-04","0014-10-07","0014-11-11",94,307,272,279,314
"122",122,"14585*W","Fagus grandifolia","0014-09-30","0014-11-04","0014-10-07","0014-11-11",74,307,272,279,314
"123",123,"6782*B","Fagus grandifolia","0014-09-30","0014-11-11","0014-10-07","0014-11-11",74,314,272,279,314
"124",124,"14585*B","Fagus grandifolia","0014-09-30","0014-11-06","0014-10-07","0014-11-06",74,309,272,279,309
"125",125,"14585*C","Fagus grandifolia","0014-09-30","0014-11-06","0014-10-07","0014-11-06",49,309,272,279,309
"126",126,"14585*D","Fagus grandifolia","0014-09-30","0014-11-11","0014-10-07","0014-11-11",49,314,272,279,314
"127",127,"383-27*A","Fagus engleriana","0014-10-14","0014-11-11","0014-10-14","0014-09-19",0,314,286,286,261
"128",128,"383-27*B","Fagus engleriana","0014-10-14","0014-11-11","0014-10-14","0014-09-19",0,314,286,286,261
"129",129,"1726-81*B","Platanus occidentalis","0014-09-19","0014-10-21","0014-09-19","0014-10-29",100,293,261,261,301
"130",130,"524-48*D","Met. glyptostroboides","0014-10-21","0014-11-11","0014-10-21","0014-10-29",24,314,293,293,301
"131",131,"524-48*A","Met. glyptostroboides","0014-11-06","0014-11-11","0014-11-06","0014-11-06",24,314,309,309,309
"132",132,"1171-67*A","Larix decidua","0014-10-29","0014-11-11","0014-10-29","0014-11-11",74,314,301,301,314
"133",133,"1171-67*B","Larix decidua","0014-10-07","0014-11-06","0014-10-21","0014-11-11",24,309,279,293,314
"134",134,"152-79*A","Larix kaempferi","0014-10-07","0014-11-11","0014-10-29","0014-11-11",24,314,279,301,314
"135",135,"14948*A","Larix sibirica","0014-10-21","0014-11-06","0014-10-21","0014-11-06",74,309,293,293,309
"136",136,"445-60*A","Larix sibirica","0014-09-23","0014-11-06","0014-10-21","0014-11-11",74,309,265,293,314
"137",137,"524-48*L","Met. glyptostroboides","0014-10-07","0014-11-11","0014-10-14","0014-11-06",24,314,279,286,309
"138",138,"1894-80*G","Sorbus yuana","0014-09-23","0014-11-06","0014-09-23","0014-11-06",94,309,265,265,309
"139",139,"1097*C","Larix kaempferi","0014-10-29","0014-11-06","0014-10-29","0014-09-19",0,309,301,301,261
"140",140,"14939*B","Larix kaempferi","0014-10-21","0014-11-06","0014-11-06","0014-09-19",0,309,293,309,261
"141",141,"3-48*A","Met. glyptostroboides","0014-10-07","0014-11-11","0014-10-21","0014-11-11",49,314,279,293,314
"142",142,"14937*A","Larix decidua","0014-09-19","0014-11-11","0014-10-14","0014-11-11",24,314,261,286,314
"143",143,"1239-83*C","Styph. japonicum","0014-09-19","0014-10-29","0014-09-19","0014-10-29",24,301,261,261,301
"144",144,"1894-80*B","Sorbus yuana","0014-09-19","0014-10-14","0014-09-19","0014-10-29",100,286,261,261,301
"145",145,"250-80*A","Pyrus call. var. dimorph.","0014-09-19","0014-11-11","0014-09-19","0014-11-06",24,314,261,261,309
"146",146,"250-80*E","Pyrus call. var. dimorph.","0014-09-19","0014-10-29","0014-09-23","0014-11-11",100,301,261,265,314
"147",147,"1211-77*B","Quercus glandulifera","0014-09-30","0014-11-06","0014-10-14","0014-11-11",49,309,272,286,314
"148",148,"1237-79*B","Gleditsia triacanthos","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"149",149,"10569*A","Pyrus pyrifolia","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"150",150,"7416*B","Fagus engleriana","0014-09-23","0014-11-06","0014-09-23","0014-09-19",0,309,265,265,261
"151",151,"12453*A","Kalopanax septemlobus","0014-09-19","0014-11-06","0014-09-23","0014-11-06",100,309,261,265,309
"152",152,"12453*C","Kalopanax septemlobus","0014-09-19","0014-11-11","0014-09-23","0014-11-11",94,314,261,265,314
"153",153,"23189*A","Pyrus pyrifolia f. stap","0014-09-19","0014-11-06","0014-09-19","0014-10-29",24,309,261,261,301
"154",154,"16823*K","Quercus glandulifera","0014-09-30","0014-11-06","0014-09-23","0014-11-11",74,309,272,265,314
"155",155,"1237-79*C","Gleditsia triacanthos","0014-09-19","0014-11-06","0014-09-19","0014-11-06",94,309,261,261,309
"156",156,"12651*I","Aesculus flava","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"157",157,"787*B","Liriodendron tulipifera","0014-09-19","0014-10-29","0014-09-19","0014-11-11",94,301,261,261,314
"158",158,"16823*B","Quercus glandulifera","0014-09-23","0014-10-29","0014-09-30","0014-11-06",74,301,265,272,309
"159",159,"18053*A","Quercus variabilis","0014-10-14","0014-11-11","0014-10-14","0014-11-11",94,314,286,286,314
"160",160,"787*F","Liriodendron tulipifera","0014-09-19","0014-11-11","0014-09-19","0014-10-29",74,314,261,261,301
"161",161,"18409*A","Quercus aliena","0014-10-21","0014-11-11","0014-10-21","0014-11-11",49,314,293,293,314
"162",162,"21784*K","Larix gmelinii","0014-09-30","0014-11-11","0014-09-30","0014-11-11",94,314,272,272,314
"163",163,"186-82*C","Fraxinus pennsylvanica","0014-09-30","0014-11-06","0014-09-30","0014-11-11",94,309,272,272,314
"164",164,"18503*A","Larix gmelinii","0014-09-30","0014-11-06","0014-09-30","0014-11-11",94,309,272,272,314
"165",165,"18503*G","Larix gmelinii","0014-09-30","0014-11-06","0014-09-30","0014-11-11",94,309,272,272,314
"166",166,"21784*B","Larix gmelinii","0014-09-30","0014-10-29","0014-09-30","0014-10-29",94,301,272,272,301
"167",167,"14936*B","Larix gmelinii","0014-09-30","0014-11-06","0014-10-07","0014-11-11",74,309,272,279,314
"168",168,"14936*C","Larix gmelinii","0014-09-30","0014-11-06","0014-10-07","0014-11-11",74,309,272,279,314
"169",169,"7598*J","Quercus coccinea","0014-09-23","0014-11-11","0014-09-30","0014-10-29",24,314,265,272,301
"170",170,"7598*H","Quercus coccinea","0014-09-23","0014-11-11","0014-09-30","0014-10-29",24,314,265,272,301
"171",171,"20517*A","Quercus coccinea","0014-09-30","0014-11-06","0014-09-30","0014-11-06",24,309,272,272,309
"172",172,"20517*B","Quercus coccinea","0014-09-30","0014-11-11","0014-09-30","0014-11-06",49,314,272,272,309
"173",173,"26-80*A","Fagus grandifolia","0014-09-30","0014-10-29","0014-09-30","0014-11-11",74,301,272,272,314
"174",174,"20513*A","Quercus alba","0014-09-30","0014-11-11","0014-09-30","0014-11-11",24,314,272,272,314
"175",175,"18912*A","Crataegus crus-galli","0014-09-30","0014-11-06","0014-09-30","0014-11-11",100,309,272,272,314
"176",176,"18918*A","Crataegus crus-galli","0014-09-30","0014-10-21","0014-09-30","0014-10-21",100,293,272,272,293
"177",177,"6500*A","Crataegus crus-galli","0014-09-30","0014-10-21","0014-09-30","0014-10-29",100,293,272,272,301
"178",178,"11913*A","Crataegus crus-galli","0014-09-30","0014-11-11","0014-09-30","0014-11-11",94,314,272,272,314
"179",179,"5029*A","Crataegus crus-galli","0014-09-30","0014-11-11","0014-09-30","0014-11-11",74,314,272,272,314
"180",180,"5053*A","Crataegus crus-galli","0014-09-30","0014-10-21","0014-09-30","0014-10-21",100,293,272,272,293
"181",181,"16611*J","Populus deltoides","0014-09-19","0014-10-21","0014-09-19","0014-11-06",100,293,261,261,309
"182",182,"16611*K","Populus deltoides","0014-09-19","0014-10-29","0014-09-19","0014-11-11",94,301,261,261,314
"183",183,"16611*O","Populus deltoides","0014-09-19","0014-11-06","0014-09-19","0014-11-11",100,309,261,261,314
"184",184,"22099*A","Populus deltoides","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"185",185,"1894-80*K","Sorbus yuana","0014-09-23","0014-10-21","0014-09-30","0014-10-29",100,293,265,272,301
"186",186,"16611*F","Populus deltoides","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"187",187,"16611*H","Populus deltoides","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"188",188,"17908-1*B","Ulmus laciniata var. nik.","0014-09-19","0014-11-11","0014-09-19","0014-11-11",74,314,261,261,314
"189",189,"17908-1*C","Ulmus laciniata var. nik.","0014-09-19","0014-11-11","0014-09-19","0014-11-11",49,314,261,261,314
"190",190,"10793*A","Pyrus call. var. dimorph.","0014-09-19","0014-11-11","0014-09-30","0014-10-21",24,314,261,272,293
"191",191,"7272*A","Pyrus pyrifolia","0014-09-19","0014-10-21","0014-09-19","0014-10-21",24,293,261,261,293
"192",192,"11728*A","Pyrus ussuriensis","0014-09-19","0014-10-14","0014-09-19","0014-10-21",100,286,261,261,293
"193",193,"11728*B","Pyrus ussuriensis","0014-09-19","0014-11-11","0014-09-19","0014-11-11",94,314,261,261,314
"194",194,"17456*A","Pyrus ussuriensis","0014-09-19","0014-10-29","0014-09-19","0014-11-11",100,301,261,261,314
"195",195,"17456*B","Pyrus ussuriensis","0014-09-19","0014-11-11","0014-09-23","0014-10-29",74,314,261,265,301
"196",196,"1894-80*A","Sorbus yuana","0014-09-23","0014-10-29","0014-09-30","0014-11-11",100,301,265,272,314
"197",197,"1539-80*H","Sorbus yuana","0014-09-19","0014-11-06","0014-09-30","0014-11-11",100,309,261,272,314
"198",198,"1323-82*A","Tilia americana","0014-09-19","0014-11-06","0014-09-19","0014-10-07",24,309,261,261,279
"199",199,"1296-83*A","Larix decidua","0014-09-30","0014-09-30","0014-09-30","0014-09-19",0,272,272,272,261
"200",200,"1539-80*I","Sorbus yuana","0014-09-19","0014-10-20","0014-09-23","0014-10-29",100,292,261,265,301
"201",201,"1265-79*C","Fraxinus mandshurica","0014-09-19","0014-10-14","0014-09-19","0014-10-20",100,286,261,261,292
